order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
2060996,775,8,0,17,30
3116656,775,9,0,6,30
1548755,848,1,2,17,
2536926,848,2,1,13,6
741605,848,3,2,13,8
2379440,848,4,1,16,6
396081,848,5,0,16,6
2997670,848,6,0,18,7
1334594,848,7,0,15,7
678051,848,8,4,10,11
3158752,848,9,5,0,8
688546,848,10,2,13,4
2241198,848,11,5,21,3
294267,848,12,2,8,4
1458893,848,13,0,14,5
2525588,848,14,0,14,7
300231,848,15,2,17,9
1649595,848,16,0,16,5
1564381,848,17,0,14,7
1791422,848,18,0,15,7
638565,848,19,0,17,7
1333730,848,20,1,15,8
2094517,848,21,4,19,10
123578,848,22,2,21,12
1362655,848,23,5,13,3
2305653,848,24,1,10,10
1165590,848,25,4,15,3
2759243,848,26,4,16,7
2604815,848,27,1,16,4
3049392,848,28,0,17,6
2239849,848,29,4,15,4
1402920,848,30,2,14,5
2198195,848,31,6,15,4
2499812,848,32,1,9,9
1902097,848,33,0,15,6
189155,848,34,4,10,4
2134698,848,35,0,9,3
3181872,848,36,4,11,4
1742114,848,37,0,16,3
2327238,848,38,5,11,5
1406042,848,39,0,14,2
2117331,848,40,3,16,3
1852950,848,41,6,13,3
1804745,848,42,0,7,1
2659836,848,43,6,23,6
1241668,848,44,0,17,8
2496512,857,1,1,8,
334941,857,2,5,8,11
3135718,857,3,1,16,3
1976581,857,4,1,13,21
2490816,857,5,3,15,30
1535545,857,6,4,7,15
1248441,857,7,0,14,10
51620,857,8,3,20,10
2746029,857,9,6,12,17
252213,857,10,3,16,4
2908340,857,11,1,16,12
2811376,857,12,6,12,12
56330,857,13,0,10,8
2831265,857,14,0,6,7
2708267,857,15,6,14,6
1894509,857,16,6,10,7
513259,857,17,4,8,5
1312665,857,18,1,16,4
3070435,857,19,5,15,4
3025097,857,20,5,14,7
2969900,857,21,3,18,5
1172182,857,22,1,18,5
1857991,857,23,0,12,6
1016568,857,24,5,8,5
1793331,857,25,4,8,6
2933687,857,26,4,15,7
3085326,857,27,5,11,8
370543,857,28,1,14,3
155088,857,29,5,12,4
655649,857,30,5,14,7
2509525,857,31,1,8,3
1339054,857,32,5,9,4
2521112,857,33,2,15,4
11100,857,34,5,14,3
1070032,857,35,4,16,6
251926,857,36,3,18,6
339111,857,37,5,16,9
2759622,857,38,6,7,8
3323451,857,39,0,17,8
1713380,857,40,1,19,1
2979764,857,41,2,17,8
2400489,857,42,0,10,12
1027320,857,43,5,7,5
2056487,857,44,1,16,3
525283,857,45,0,10,6
441762,857,46,0,19,7
83856,857,47,0,6,7
162183,943,1,2,8,
41409,943,2,0,8,30
2831389,943,3,4,12,4
1876414,943,4,5,14,22
3057426,956,1,0,16,
2123329,956,2,0,12,7
3247977,956,3,6,20,30
3149144,956,4,5,12,30
231118,956,5,0,11,30
180090,956,6,5,16,30
2406515,956,7,0,10,30
180807,956,8,1,12,8
1393091,956,9,0,11,13
2686780,956,10,3,13,10
1802535,956,11,0,13,18
967656,956,12,0,15,7
378435,974,1,0,11,
2279953,974,2,6,12,20
1640322,974,3,1,14,30
1018845,974,4,6,8,30
2231316,974,5,4,8,30
2064764,974,6,5,8,30
3202493,974,7,6,10,30
2408140,1068,1,3,21,
1017875,1068,2,5,6,9
1353126,1068,3,5,23,28
1430544,1068,4,1,12,30
2929674,1136,1,4,16,
1550066,1136,2,5,8,29
1545913,1136,3,6,12,8
1679278,1136,4,4,17,30
727915,1136,5,3,15,20
2504439,1136,6,4,19,1
518039,1136,7,0,11,3
3233893,1136,8,3,17,3
295596,1136,9,4,14,1
1425633,1136,10,2,19,19
1165744,1136,11,3,11,15
1331315,1136,12,4,11,8
2763124,1136,13,3,16,6
3058586,1136,14,0,21,18
365877,1136,15,0,9,21
2567648,1136,16,5,16,12
2326803,1136,17,1,8,10
614941,1136,18,1,15,7
2977100,1136,19,6,8,19
2097996,1136,20,4,13,12
2374587,1136,21,1,12,4
1171770,1136,22,4,16,10
500912,1136,23,1,17,11
1755364,1136,24,0,17,20
3013668,1136,25,6,16,30
2560858,1136,26,3,18,4
1394732,1170,1,2,10,
2475038,1170,2,2,10,28
2875117,1170,3,1,20,30
246276,1170,4,0,19,30
414942,1170,5,4,13,11
1323333,1170,6,3,13,6
3351810,1170,7,4,12,15
2583110,1170,8,4,12,30
263399,1170,9,1,13,30
1211668,1170,10,1,14,14
2877055,1170,11,2,7,15
3009469,1170,12,5,13,3
724335,1170,13,4,12,6
577302,1170,14,1,11,4
364367,1170,15,4,21,3
1658021,1170,16,2,14,12
2085716,1170,17,1,15,13
1060903,1192,1,4,19,
690715,1192,2,6,1,23
2527020,1192,3,4,14,26
1775170,1192,4,4,11,30
1120475,1213,1,0,17,
750388,1213,2,0,18,7
2395514,1213,3,0,15,7
2146816,1213,4,4,14,4
1569080,1213,5,1,10,4
1478757,1213,6,5,12,4
93989,1213,7,0,13,2
2922763,1213,8,5,16,5
2597982,1213,9,2,15,4
1239251,1213,10,6,14,4
2058680,1213,11,0,13,8
964563,1213,12,4,15,4
1867909,1213,13,6,15,2
3367622,1213,14,2,14,3
2318754,1213,15,6,19,4
3063835,1213,16,1,14,9
2441192,1213,17,1,12,7
998697,1213,18,6,16,5
2810369,1213,19,1,14,2
2455293,1213,20,4,15,3
2278906,1213,21,2,15,5
1737664,1213,22,6,13,4
3310121,1213,23,2,12,3
2766139,1213,24,6,14,4
2786593,1213,25,2,14,3
435432,1213,26,5,11,3
2392302,1213,27,4,9,6
242945,1213,28,4,9,0
2844738,1213,29,5,14,8
2807650,1213,30,2,17,4
83853,1213,31,6,15,4
541099,1213,32,1,17,16
3241260,1213,33,4,16,17
1082762,1213,34,0,15,3
2519930,1213,35,5,16,5
98334,1213,36,1,13,10
2745876,1213,37,3,12,2
3262250,1213,38,0,22,4
953225,1213,39,6,13,6
1444976,1213,40,3,14,4
2621950,1213,41,1,13,5
255522,1213,42,4,16,17
3250346,1213,43,2,14,5
1190284,1224,1,1,10,
3068283,1224,2,1,9,7
819532,1224,3,3,14,30
2855765,1224,4,5,9,9
276689,1224,5,5,13,7
320617,1224,6,1,10,3
2573883,1224,7,3,9,9
1289172,1224,8,5,10,23
3235578,1224,9,4,9,6
1032368,1224,10,4,16,30
233804,1224,11,2,11,26
578356,1224,12,2,9,7
589930,1224,13,4,11,30
1633355,1272,1,0,13,
69031,1272,2,6,16,6
1261805,1272,3,4,16,5
3230527,1272,4,0,13,24
2710758,1272,5,6,10,20
3334928,1272,6,5,18,6
2806633,1272,7,4,10,13
144189,1272,8,4,12,14
2275457,1272,9,4,4,21
2734967,1272,10,0,17,3
1517613,1272,11,5,14,12
2106878,1272,12,0,9,30
3239694,1272,13,3,16,10
3306360,1272,14,0,12,4
1140352,1272,15,3,16,30
2395221,1272,16,6,11,10
2412404,1272,17,2,17,24
1858131,1272,18,0,14,5
3201646,1272,19,0,14,30
2551907,1272,20,5,13,19
212570,1287,1,3,14,
2237700,1287,2,3,9,28
2478475,1287,3,4,10,22
2006289,1287,4,2,16,30
840147,1287,5,5,16,30
2405627,1287,6,6,9,1
663821,1287,7,1,9,9
1852170,1287,8,3,7,16
2554332,1300,1,1,10,
1003617,1300,2,3,14,9
762609,1300,3,6,14,3
2854324,1300,4,3,13,4
1643706,1300,5,3,13,7
3401756,1300,6,0,12,4
1034882,1300,7,0,8,30
1880285,1333,1,2,14,
1054442,1333,2,2,7,28
954719,1333,3,0,15,12
1304565,1333,4,3,15,30
2296616,1571,1,5,18,
2551387,1571,2,3,19,5
2838381,1571,3,0,20,18
2839865,1571,4,0,17,7
1434174,1571,5,1,12,15
2400013,1571,6,2,12,30
2590804,1571,7,0,18,5
2423695,1571,8,4,11,4
2858011,1571,9,0,18,10
3415396,1571,10,3,19,30
284904,1571,11,3,10,14
2183537,1571,12,1,13,19
254276,1571,13,3,9,2
3073889,1571,14,4,15,22
1170421,1571,15,2,10,19
1357254,1673,1,6,21,
2418497,1673,2,3,22,4
290311,1673,3,4,18,8
787171,1673,4,4,18,7
2306274,1673,5,6,21,2
2463193,1673,6,0,20,1
374648,1673,7,2,20,9
1055870,1673,8,4,19,9
168355,1673,9,2,21,12
352985,1673,10,5,19,10
1616023,1673,11,1,19,3
2563116,1673,12,6,19,5
207499,1673,13,1,21,16
3242080,1673,14,2,19,8
2837147,1673,15,4,21,30
971478,1673,16,6,20,9
1831904,1673,17,5,19,6
638046,1673,18,4,19,6
724850,1673,19,6,20,2
1803298,1673,20,5,14,30
1904589,1729,1,0,15,
2510728,1729,2,0,15,7
936381,1729,3,0,16,14
1672008,1729,4,0,14,14
2946937,1729,5,0,15,28
2436654,1729,6,0,17,21
232755,1729,7,0,12,30
858739,1729,8,0,16,7
2432288,1729,9,0,14,14
1194602,1729,10,0,14,21
972022,1729,11,0,15,30
3003646,1772,1,2,19,
1701356,1772,2,6,10,4
1743540,1772,3,2,11,10
2434543,1772,4,2,11,7
1209961,1772,5,5,15,3
819647,1772,6,4,16,20
1140713,1772,7,3,18,6
78888,1772,8,1,15,12
2930544,1772,9,4,10,10
1468990,1772,10,3,14,13
1345819,1772,11,4,23,22
3396711,1772,12,6,21,16
2449509,1772,13,4,16,19
2879229,1772,14,4,12,7
2717808,1772,15,0,8,3
2562314,1772,16,0,8,0
176282,1772,17,3,18,3
2828329,1772,18,0,16,4
1077261,1772,19,2,22,2
1980085,1772,20,5,9,3
3303655,1772,21,6,5,1
2717057,1801,1,3,1,
3233025,1801,2,1,16,5
226028,1801,3,0,12,30
2994726,1801,4,0,12,7
3288042,1808,1,0,13,
3277842,1808,2,1,13,30
2008932,1808,3,2,17,29
290742,1808,4,4,16,23
1102656,1808,5,4,14,30
1282509,1808,6,4,14,28
204111,1808,7,1,14,25
797656,1808,8,1,12,21
1014048,1808,9,3,13,30
1299026,1835,1,1,13,
758356,1835,2,6,15,30
2476470,1835,3,5,16,30
942703,1835,4,5,12,30
232621,1852,1,1,16,
1253508,1852,2,5,12,30
2734583,1852,3,5,17,21
383222,1852,4,4,16,13
2002425,1852,5,2,19,19
452497,1852,6,6,14,4
1807809,1852,7,2,19,17
1701505,1852,8,3,18,22
2949105,1919,1,4,12,
204205,1919,2,5,20,1
2285225,1919,3,3,16,5
1279598,1919,4,1,20,5
686147,1937,1,0,19,
309205,1937,2,3,14,10
33327,1937,3,3,10,14
695782,1937,4,3,14,28
3054193,1937,5,0,15,11
71221,1937,6,5,14,12
441161,1937,7,2,18,4
819005,1937,8,5,23,3
397368,1937,9,3,13,5
1773153,1937,10,0,14,11
3294891,1938,1,1,14,
2179407,1938,2,6,14,5
3345483,1938,3,3,16,25
330468,1938,4,4,12,8
3250467,1938,5,6,15,9
1337236,1938,6,3,13,4
183932,1938,7,0,23,4
589327,1982,1,3,16,
358936,1982,2,6,12,3
3413873,1982,3,0,9,15
549068,1982,4,0,16,7
82042,1982,5,1,11,22
3203429,1982,6,3,18,16
642482,1982,7,0,17,11
652847,1982,8,0,18,14
152731,1982,9,6,8,6
652640,1982,10,3,18,25
1983588,1982,11,0,10,18
1282660,1982,12,5,20,26
2450820,1982,13,4,17,6
3200014,1982,14,6,17,23
2248892,1982,15,6,15,7
443207,1982,16,5,14,6
1256064,1982,17,5,18,30
2342831,1982,18,0,7,9
1684603,1982,19,6,17,6
3033114,1982,20,5,18,13
1532453,1982,21,0,13,16
2676812,1982,22,5,17,12
3176050,1982,23,0,19,16
2713778,1982,24,4,18,4
1723859,1982,25,5,16,22
913838,1982,26,4,9,6
176355,1982,27,6,11,9
1012646,2018,1,1,21,
1538394,2018,2,3,13,30
1122110,2018,3,1,10,26
91935,2018,4,4,19,17
1024972,2018,5,4,18,7
3369598,2018,6,0,10,30
25066,2018,7,6,9,30
2292656,2018,8,1,18,30
811430,2086,1,5,19,
2237185,2086,2,6,15,30
2434185,2086,3,3,14,11
615264,2086,4,1,15,12
2142,2086,5,6,16,12
782309,2086,6,2,16,30
1317665,2086,7,6,17,11
527406,2086,8,0,13,15
984256,2086,9,6,13,20
3179757,2086,10,6,11,21
476012,2086,11,0,19,15
51563,2086,12,3,15,17
710378,2086,13,3,15,30
2469185,2086,14,5,16,23
2884921,2086,15,1,13,24
3230232,2086,16,5,17,25
1611404,2131,1,4,18,
1497078,2131,2,3,11,6
290134,2131,3,2,17,6
997275,2131,4,6,18,25
625583,2131,5,5,15,13
23925,2131,6,1,14,10
2474551,2131,7,6,16,26
611058,2152,1,3,16,
2028997,2152,2,4,21,1
812863,2152,3,4,14,30
906303,2152,4,3,14,30
22483,2152,5,2,17,27
1211369,2152,6,4,17,30
160635,2248,1,2,17,
3272164,2248,2,1,20,30
695402,2248,3,0,10,13
1598521,2248,4,1,10,30
1660858,2301,1,0,14,
1112997,2301,2,0,10,21
3055539,2301,3,0,17,14
1783615,2301,4,5,16,30
2875762,2301,5,6,17,30
1162992,2301,6,0,11,30
1949979,2301,7,0,17,7
2080603,2301,8,4,19,4
1388854,2301,9,4,15,21
223025,2301,10,6,15,16
629437,2301,11,6,17,7
348271,2301,12,3,17,30
2117910,2339,1,6,19,
3313918,2339,2,4,15,12
786838,2339,3,5,16,15
908682,2339,4,1,15,3
2016450,2339,5,5,16,11
3345273,2367,1,4,10,
501930,2367,2,2,10,19
2939853,2367,3,4,10,2
1947830,2367,4,1,9,18
299140,2367,5,4,14,10
1733515,2367,6,1,11,4
26611,2367,7,3,12,30
2152368,2388,1,3,23,
695105,2388,2,6,16,3
1890077,2388,3,3,6,4
204824,2388,4,3,7,7
641241,2388,5,3,18,7
2038114,2388,6,2,13,6
2868642,2388,7,3,7,8
66710,2388,8,5,12,9
2495076,2388,9,1,9,17
837779,2388,10,3,11,9
1779188,2388,11,3,2,7
1007293,2388,12,3,21,14
1812568,2388,13,3,6,7
2706633,2388,14,6,12,3
2231956,2388,15,4,6,12
1326769,2388,16,3,2,6
3107527,2388,17,4,11,8
1283910,2388,18,3,8,6
600470,2388,19,3,5,7
2489305,2388,20,6,22,3
2848673,2388,21,2,21,3
3267839,2388,22,3,7,8
543688,2388,23,4,14,30
900411,2405,1,5,13,
3396309,2405,2,0,15,2
3201833,2405,3,6,12,6
2755502,2405,4,6,12,0
791059,2405,5,1,9,2
2901395,2405,6,6,14,5
3357032,2405,7,0,14,8
2357881,2405,8,4,8,4
2809592,2405,9,1,17,4
3340611,2405,10,3,12,2
136297,2405,11,0,10,4
929844,2405,12,2,22,2
2586606,2405,13,0,14,5
3137521,2405,14,4,17,4
1693489,2405,15,0,20,3
3342192,2405,16,2,13,2
1570923,2405,17,0,11,5
1619936,2405,18,4,22,4
3344580,2405,19,2,11,12
2692891,2405,20,2,14,7
658120,2405,21,6,15,4
2807681,2405,22,6,15,0
533192,2405,23,2,20,10
1242150,2405,24,4,11,9
451974,2405,25,4,17,7
2106118,2405,26,0,12,3
920688,2405,27,1,14,1
2458668,2405,28,0,15,6
1513999,2405,29,3,19,3
1788678,2405,30,1,17,5
1021273,2405,31,2,15,1
922661,2405,32,5,10,3
2453945,2405,33,0,14,2
498149,2405,34,3,14,3
111186,2405,35,0,13,4
1859518,2405,36,2,13,2
1325623,2405,37,5,15,3
2793356,2405,38,2,8,4
2520922,2405,39,4,16,2
2404908,2405,40,0,11,3
678439,2405,41,1,11,1
1991093,2405,42,2,12,1
820699,2405,43,6,12,4
2422804,2405,44,1,12,2
1469377,2405,45,3,13,2
2779080,2405,46,5,12,2
1712472,2405,47,5,12,0
1457398,2405,48,6,15,1
1582034,2405,49,0,12,1
1834748,2405,50,2,13,2
3032944,2405,51,3,14,1
2898516,2405,52,2,12,6
2970572,2405,53,0,8,5
3404217,2405,54,0,11,0
2314723,2405,55,0,12,0
1116133,2405,56,1,11,1
2201532,2405,57,5,9,4
831105,2405,58,6,12,1
2482343,2405,59,1,14,2
333955,2405,60,2,13,1
1075752,2405,61,3,10,1
1247773,2405,62,5,9,2
2380454,2405,63,1,13,3
1341369,2405,64,2,14,1
2047286,2405,65,3,8,1
360621,2405,66,4,15,1
3370630,2405,67,5,13,1
3412283,2405,68,6,12,1
1134771,2405,69,1,12,2
805125,2405,70,0,10,6
470500,2405,71,1,14,1
3019832,2405,72,6,9,5
2357040,2405,73,1,12,2
2369035,2405,74,3,12,2
1724335,2405,75,5,13,2
1047353,2405,76,1,13,3
3326798,2405,77,2,23,1
2306738,2405,78,4,19,2
2162560,2405,79,5,8,1
187719,2405,80,0,15,2
2148120,2405,81,0,16,0
147477,2405,82,3,13,3
3168629,2405,83,3,17,0
89551,2405,84,5,5,2
2687662,2405,85,2,8,4
1032888,2405,86,1,6,6
